timestamp,pitch_hz,confidence,voiced
0.0080,1973.34,0.1282,false
0.0240,1968.83,0.1602,false
0.0400,1977.37,0.1947,false
0.0560,1977.32,0.1982,false
0.0720,370.18,0.1890,false
0.0880,365.84,0.2210,false
0.1040,1869.86,0.2131,false
0.1200,104.86,0.3059,false
0.1360,104.10,0.3918,false
0.1520,104.30,0.3966,false
0.1680,103.78,0.3061,false
0.1840,103.92,0.2796,false
0.2000,1106.99,0.1435,false
0.2160,1102.91,0.1652,false
0.2320,1090.75,0.1364,false
0.2480,2004.59,0.1188,false
0.2640,1955.63,0.1212,false
0.2800,1939.08,0.1021,false
0.2960,75.97,0.2092,false
0.3120,76.13,0.3308,false
0.3280,76.19,0.4831,false
0.3440,75.88,0.6559,false
0.3600,75.58,0.8275,false
0.3760,75.69,0.8721,false
0.3920,75.92,0.9164,true
0.4080,75.86,0.9128,true
0.4240,75.88,0.8885,false
0.4400,75.99,0.8606,false
0.4560,76.15,0.8643,false
0.4720,76.11,0.8864,false
0.4880,75.94,0.9020,true
0.5040,75.98,0.8730,false
0.5200,76.34,0.8159,false
0.5360,76.84,0.7308,false
0.5520,77.47,0.7291,false
0.5680,78.38,0.6393,false
0.5840,78.91,0.4943,false
0.6000,57.81,0.4479,false
0.6160,83.76,0.5562,false
0.6320,83.27,0.6946,false
0.6480,83.82,0.5559,false
0.6640,84.35,0.3168,false
0.6800,1175.03,0.2822,false
0.6960,1172.55,0.4932,false
0.7120,1169.77,0.6408,false
0.7280,1167.10,0.6584,false
0.7440,1159.78,0.5527,false
0.7600,1150.02,0.4778,false
0.7760,1152.41,0.3833,false
0.7920,1152.17,0.2632,false
0.8080,1149.51,0.1900,false
0.8240,1170.76,0.1373,false
0.8400,191.96,0.1888,false
0.8560,192.72,0.2379,false
0.8720,194.69,0.2684,false
0.8880,196.88,0.2869,false
0.9040,198.22,0.2886,false
0.9200,197.70,0.2347,false
0.9360,2004.26,0.0677,false
0.9520,75.41,0.2458,false
0.9680,75.81,0.3305,false
0.9840,75.14,0.5076,false
1.0000,75.54,0.6790,false
1.0160,75.63,0.7981,false
1.0320,76.14,0.8543,false
1.0480,76.43,0.8646,false
1.0640,76.33,0.8490,false
1.0800,76.24,0.8400,false
1.0960,76.22,0.8359,false
1.1120,75.67,0.7332,false
1.1280,74.11,0.7277,false
1.1440,73.48,0.7032,false
1.1600,73.69,0.6376,false
1.1760,76.73,0.5577,false
1.1920,84.09,0.4234,false
1.2080,86.08,0.5889,false
1.2240,87.16,0.7812,false
1.2400,87.70,0.9044,true
1.2560,87.74,0.9401,true
1.2720,87.67,0.9554,true
1.2880,87.66,0.9748,true
1.3040,87.75,0.9862,true
1.3200,87.87,0.9877,true
1.3360,87.92,0.9790,true
1.3520,87.78,0.9221,true
1.3680,87.11,0.7821,false
1.3840,87.24,0.7806,false
1.4000,87.86,0.8396,false
1.4160,90.54,0.8840,false
1.4320,92.56,0.9413,true
1.4480,92.56,0.9660,true
1.4640,92.91,0.9942,true
1.4800,93.08,0.9982,true
1.4960,93.07,0.9976,true
1.5120,93.04,0.9953,true
1.5280,93.08,0.9954,true
1.5440,93.14,0.9966,true
1.5600,93.15,0.9939,true
1.5760,93.11,0.9879,true
1.5920,93.04,0.9855,true
1.6080,93.07,0.9731,true
1.6240,92.82,0.8298,false
1.6400,90.13,0.3292,false
1.6560,125.98,0.3964,false
1.6720,126.59,0.4083,false
1.6880,123.85,0.3715,false
1.7040,121.82,0.4568,false
1.7200,118.52,0.3774,false
1.7360,107.15,0.2574,false
1.7520,189.34,0.1596,false
1.7680,125.38,0.2242,false
1.7840,126.50,0.2412,false
1.8000,126.08,0.2821,false
1.8160,124.04,0.3653,false
1.8320,123.57,0.3969,false
1.8480,61.47,0.7262,false
1.8640,61.43,0.7105,false
1.8800,61.35,0.7016,false
1.8960,61.30,0.6239,false
1.9120,61.29,0.5837,false
1.9280,61.30,0.6531,false
1.9440,61.29,0.8132,false
1.9600,61.28,0.8590,false
1.9760,61.30,0.8767,false
1.9920,61.35,0.8324,false
2.0080,61.36,0.7514,false
2.0240,61.25,0.7155,false
2.0400,61.03,0.8178,false
2.0560,60.73,0.8429,false
2.0720,60.00,0.7691,false
2.0880,59.44,0.6187,false
2.1040,59.05,0.5435,false
2.1200,117.27,0.3823,false
2.1360,55.88,0.3655,false
2.1520,54.68,0.2353,false
2.1680,187.97,0.2244,false
2.1840,184.95,0.3422,false
2.2000,179.04,0.2734,false
2.2160,371.98,0.1191,false
2.2320,119.95,0.4213,false
2.2480,117.97,0.7637,false
2.2640,116.45,0.9251,true
2.2800,115.50,0.9519,true
2.2960,115.26,0.9525,true
2.3120,115.36,0.9175,true
2.3280,115.28,0.8676,false
2.3440,115.07,0.8896,false
2.3600,115.04,0.8838,false
2.3760,115.08,0.8963,false
2.3920,115.08,0.9176,true
2.4080,115.10,0.8790,false
2.4240,115.11,0.7314,false
2.4400,57.82,0.6507,false
2.4560,57.83,0.9274,true
2.4720,57.83,0.9761,true
2.4880,57.83,0.9830,true
2.5040,57.83,0.9809,true
2.5200,57.83,0.9812,true
2.5360,57.83,0.9789,true
2.5520,57.83,0.9679,true
2.5680,57.83,0.9535,true
2.5840,57.83,0.9546,true
2.6000,57.83,0.9578,true
2.6160,57.83,0.9579,true
2.6320,57.83,0.9470,true
2.6480,57.83,0.8994,false
2.6640,57.83,0.8151,false
2.6800,57.82,0.7188,false
2.6960,57.82,0.6595,false
2.7120,57.82,0.6104,false
2.7280,57.82,0.5211,false
2.7440,57.81,0.4937,false
2.7600,57.81,0.5127,false
2.7760,57.81,0.5840,false
2.7920,57.80,0.6034,false
2.8080,115.03,0.5368,false
2.8240,114.99,0.7291,false
2.8400,114.98,0.7294,false
2.8560,115.01,0.5808,false
2.8720,57.78,0.5980,false
2.8880,57.80,0.7247,false
2.9040,57.81,0.7812,false
2.9200,57.81,0.8266,false
2.9360,57.82,0.8683,false
2.9520,57.82,0.8888,false
2.9680,57.82,0.9021,true
2.9840,57.82,0.9347,true
3.0000,57.82,0.9659,true
3.0160,57.82,0.9746,true
3.0320,57.82,0.9605,true
3.0480,57.82,0.9487,true
3.0640,57.82,0.9617,true
3.0800,57.82,0.9677,true
3.0960,57.80,0.9743,true
3.1120,57.74,0.9734,true
3.1280,57.75,0.9612,true
3.1440,57.79,0.9578,true
3.1600,57.81,0.9587,true
3.1760,57.81,0.9621,true
3.1920,57.80,0.9597,true
3.2080,57.79,0.9467,true
3.2240,57.78,0.9411,true
3.2400,57.78,0.9295,true
3.2560,57.77,0.8926,false
3.2720,57.74,0.8028,false
3.2880,57.67,0.7785,false
3.3040,57.62,0.8572,false
3.3200,57.57,0.9282,true
3.3360,57.64,0.9516,true
3.3520,57.66,0.9514,true
3.3680,57.70,0.9293,true
3.3840,57.76,0.8512,false
3.4000,57.80,0.8847,false
3.4160,57.77,0.8987,false
3.4320,57.64,0.8861,false
3.4480,57.52,0.8823,false
3.4640,57.37,0.9070,true
3.4800,57.33,0.9176,true
3.4960,57.49,0.8752,false
3.5120,57.30,0.8110,false
3.5280,56.59,0.7805,false
3.5440,55.73,0.7575,false
3.5600,55.22,0.6489,false
3.5760,54.93,0.5028,false
3.5920,54.34,0.3710,false
3.6080,105.58,0.6682,false
3.6240,106.13,0.7160,false
3.6400,106.34,0.7571,false
3.6560,105.70,0.7789,false
3.6720,104.97,0.7161,false
3.6880,103.70,0.5917,false
3.7040,103.22,0.4431,false
3.7200,105.41,0.4011,false
3.7360,106.19,0.3574,false
3.7520,51.80,0.3820,false
3.7680,104.18,0.4051,false
3.7840,104.39,0.4435,false
3.8000,51.69,0.5256,false
3.8160,51.61,0.6204,false
3.8320,51.60,0.5759,false
3.8480,104.15,0.5738,false
3.8640,51.60,0.4687,false
3.8800,51.58,0.7395,false
3.8960,51.58,0.8664,false
3.9120,51.57,0.8861,false
3.9280,51.57,0.8229,false
3.9440,51.57,0.7814,false
3.9600,51.57,0.8706,false
3.9760,51.56,0.9467,true
3.9920,51.55,0.9646,true
4.0080,51.53,0.9419,true
4.0240,51.42,0.8754,false
4.0400,51.04,0.7931,false
4.0560,50.01,0.6966,false
4.0720,49.58,0.6653,false
4.0880,49.40,0.6077,false
4.1040,49.39,0.5677,false
4.1200,49.91,0.4167,false
4.1360,50.71,0.3359,false
4.1520,51.25,0.2659,false
4.1680,1965.97,0.2295,false
4.1840,1945.01,0.2862,false
4.2000,1936.87,0.2850,false
4.2160,1920.72,0.2899,false
4.2320,1906.93,0.2512,false
4.2480,105.36,0.3557,false
4.2640,103.44,0.4614,false
4.2800,101.97,0.5181,false
4.2960,101.80,0.5376,false
4.3120,101.98,0.5325,false
4.3280,101.93,0.4335,false
4.3440,102.35,0.2878,false
4.3600,158.93,0.2806,false
4.3760,158.48,0.3287,false
4.3920,158.01,0.3461,false
4.4080,158.51,0.4201,false
4.4240,156.62,0.3264,false
4.4400,104.74,0.2945,false
4.4560,103.31,0.4670,false
4.4720,49.62,0.4120,false
4.4880,49.08,0.5445,false
4.5040,49.17,0.3780,false
4.5200,102.10,0.5810,false
4.5360,102.41,0.6655,false
4.5520,103.10,0.7424,false
4.5680,103.99,0.7424,false
4.5840,105.12,0.5682,false
4.6000,120.33,0.4157,false
4.6160,124.01,0.4860,false
4.6320,61.19,0.6304,false
4.6480,61.28,0.7216,false
4.6640,61.30,0.8340,false
4.6800,61.29,0.8575,false
4.6960,61.30,0.7530,false
4.7120,61.35,0.5703,false
4.7280,61.40,0.5677,false
4.7440,61.35,0.5917,false
4.7600,61.34,0.6056,false
4.7760,61.35,0.5675,false
4.7920,61.33,0.6406,false
4.8080,61.29,0.7244,false
4.8240,61.22,0.7824,false
4.8400,60.89,0.8517,false
4.8560,59.91,0.8046,false
4.8720,58.61,0.6957,false
4.8880,58.03,0.5742,false
4.9040,116.62,0.7205,false
4.9200,116.46,0.9351,true
4.9360,115.94,0.9658,true
4.9520,115.62,0.9774,true
4.9680,115.39,0.9798,true
4.9840,115.23,0.9811,true
5.0000,115.22,0.9832,true
5.0160,115.15,0.9839,true
5.0320,115.09,0.9799,true
5.0480,115.10,0.9272,true
5.0640,115.27,0.6827,false
5.0800,57.76,0.4296,false
5.0960,57.68,0.4599,false
5.1120,57.36,0.5413,false
5.1280,55.96,0.4795,false
5.1440,106.87,0.5578,false
5.1600,109.08,0.5595,false
5.1760,109.09,0.5630,false
5.1920,106.24,0.4698,false
5.2080,53.09,0.2837,false
5.2240,52.50,0.1535,false
5.2400,161.07,0.2609,false
5.2560,161.21,0.2519,false
5.2720,145.64,0.2690,false
5.2880,138.61,0.3392,false
5.3040,90.94,0.3418,false
5.3200,93.11,0.6966,false
5.3360,93.05,0.9627,true
5.3520,92.84,0.9896,true
5.3680,92.60,0.9863,true
5.3840,92.82,0.9710,true
5.4000,93.10,0.9782,true
5.4160,93.16,0.9921,true
5.4320,93.16,0.9962,true
5.4480,93.16,0.9972,true
5.4640,93.14,0.9956,true
5.4800,93.03,0.9818,true
5.4960,92.77,0.9461,true
5.5120,92.53,0.9393,true
5.5280,92.18,0.9383,true
5.5440,91.40,0.9100,true
5.5600,87.78,0.7511,false
5.5760,79.40,0.7552,false
5.5920,79.62,0.6910,false
5.6080,81.06,0.5686,false
5.6240,1701.05,0.2441,false
5.6400,1711.33,0.2720,false
5.6560,1708.62,0.1649,false
5.6720,1686.73,0.1439,false
5.6880,78.35,0.1490,false
5.7040,77.45,0.1870,false
5.7200,116.25,0.5174,false
5.7360,114.71,0.6721,false
5.7520,113.36,0.8060,false
5.7680,113.20,0.8176,false
5.7840,113.02,0.8676,false
5.8000,113.04,0.9390,true
5.8160,113.25,0.8870,false
5.8320,113.52,0.7866,false
5.8480,113.73,0.6641,false
5.8640,76.37,0.4843,false
5.8800,76.70,0.6210,false
5.8960,76.84,0.7261,false
5.9120,76.55,0.6419,false
5.9280,76.26,0.7139,false
5.9440,76.51,0.7507,false
5.9600,76.47,0.7886,false
5.9760,76.47,0.8137,false
5.9920,75.95,0.8280,false
6.0080,75.63,0.8596,false
6.0240,75.37,0.8765,false
6.0400,76.25,0.8749,false
6.0560,76.88,0.8934,false
6.0720,76.11,0.8893,false
6.0880,74.81,0.8636,false
6.1040,75.08,0.7699,false
6.1200,79.89,0.6387,false
6.1360,84.43,0.5485,false
6.1520,648.60,0.1332,false
6.1680,649.16,0.2081,false
6.1840,649.43,0.1957,false
6.2000,332.89,0.3844,false
6.2160,333.18,0.4228,false
6.2320,333.49,0.5166,false
6.2480,332.55,0.5014,false
6.2640,331.04,0.3922,false
6.2800,329.87,0.3706,false
6.2960,328.95,0.3712,false
6.3120,327.84,0.4632,false
6.3280,325.57,0.4535,false
6.3440,322.73,0.4795,false
6.3600,317.48,0.4683,false
6.3760,314.20,0.4387,false
6.3920,310.90,0.4587,false
6.4080,310.15,0.5437,false
6.4240,310.41,0.7019,false
6.4400,310.29,0.8420,false
6.4560,309.61,0.8494,false
6.4720,308.35,0.7911,false
6.4880,306.75,0.7189,false
6.5040,305.19,0.7090,false
6.5200,302.73,0.6208,false
6.5360,101.47,0.3454,false
6.5520,101.34,0.4121,false
6.5680,101.27,0.4938,false
6.5840,102.48,0.5934,false
6.6000,103.86,0.6305,false
6.6160,105.15,0.5298,false
6.6320,105.63,0.5830,false
6.6480,103.60,0.5310,false
6.6640,102.69,0.4424,false
6.6800,102.25,0.4216,false
6.6960,102.03,0.3476,false
6.7120,101.86,0.4741,false
6.7280,101.59,0.6651,false
6.7440,101.26,0.7556,false
6.7600,101.13,0.7894,false
6.7760,101.16,0.7800,false
6.7920,101.28,0.7016,false
6.8080,101.37,0.5947,false
6.8240,101.18,0.5796,false
6.8400,101.01,0.5067,false
6.8560,101.88,0.4017,false
6.8720,102.42,0.4421,false
6.8880,101.88,0.4074,false
6.9040,101.87,0.3434,false
6.9200,102.46,0.3363,false
6.9360,102.83,0.3906,false
6.9520,103.66,0.3867,false
6.9680,105.48,0.3156,false
6.9840,1809.16,0.1628,false
7.0000,1815.20,0.1789,false
7.0160,1816.49,0.2199,false
7.0320,356.94,0.3932,false
7.0480,350.64,0.4511,false
7.0640,1783.58,0.2238,false
